INFO  | 2019-03-17 19:41:50 | [MLog-Init-Reporter] log.MLog$1	(MLog.java:126) -- MLog clients using log4j2 logging.
DEBUG | 2019-03-17 19:41:50 | [main] cfg.MConfig	(MConfig.java:101) -- Could not find resource path text file for path '/com/mchange/v2/cfg/vmConfigResourcePaths.txt'. Skipping.
DEBUG | 2019-03-17 19:41:50 | [main] cfg.MConfig	(MConfig.java:101) -- Added paths from resource path text file at '/mchange-config-resource-paths.txt'
DEBUG | 2019-03-17 19:41:50 | [main] cfg.MConfig	(MConfig.java:101) -- The configuration file for resource identifier '/mchange-commons.properties' could not be found. Skipping.
DEBUG | 2019-03-17 19:41:50 | [main] cfg.MConfig	(MConfig.java:101) -- The configuration file for resource identifier '/mchange-log.properties' could not be found. Skipping.
DEBUG | 2019-03-17 19:41:50 | [main] cfg.MConfig	(MConfig.java:101) -- The configuration file for resource identifier 'hocon:/reference,/application,/c3p0,/' could not be found. Skipping.
DEBUG | 2019-03-17 19:41:50 | [main] cfg.MConfig	(MConfig.java:101) -- The configuration file for resource identifier '/c3p0.properties' could not be found. Skipping.
DEBUG | 2019-03-17 19:41:50 | [MLog-Init-Reporter] cfg.MConfig	(MConfig.java:101) -- Could not find resource path text file for path '/com/mchange/v2/cfg/vmConfigResourcePaths.txt'. Skipping.
DEBUG | 2019-03-17 19:41:50 | [MLog-Init-Reporter] cfg.MConfig	(MConfig.java:101) -- Added paths from resource path text file at '/mchange-config-resource-paths.txt'
DEBUG | 2019-03-17 19:41:50 | [MLog-Init-Reporter] cfg.MConfig	(MConfig.java:101) -- Reading VM config for path list /com/mchange/v2/log/default-mchange-log.properties, /mchange-commons.properties, /c3p0.properties, hocon:/reference,/application,/c3p0,/, /mchange-log.properties, /
DEBUG | 2019-03-17 19:41:50 | [MLog-Init-Reporter] cfg.MConfig	(MConfig.java:101) -- The configuration file for resource identifier '/mchange-commons.properties' could not be found. Skipping.
DEBUG | 2019-03-17 19:41:50 | [MLog-Init-Reporter] cfg.MConfig	(MConfig.java:101) -- The configuration file for resource identifier '/c3p0.properties' could not be found. Skipping.
DEBUG | 2019-03-17 19:41:50 | [MLog-Init-Reporter] cfg.MConfig	(MConfig.java:101) -- The configuration file for resource identifier 'hocon:/reference,/application,/c3p0,/' could not be found. Skipping.
DEBUG | 2019-03-17 19:41:50 | [MLog-Init-Reporter] cfg.MConfig	(MConfig.java:101) -- The configuration file for resource identifier '/mchange-log.properties' could not be found. Skipping.
